date,original,mis_1,mis_2,mis_3
2019-07-24 04:00:00,21.041666666666668,21.041666666666668,,21.041666666666668
2019-07-24 06:00:00,24.375,24.375,,24.375
2019-07-24 08:00:00,26.708333333333332,26.708333333333332,,26.708333333333332
2019-07-24 10:00:00,28.558333333333334,28.558333333333334,,28.558333333333334
2019-07-24 12:00:00,29.849999999999998,29.849999999999998,29.849999999999998,29.849999999999998
2019-07-24 14:00:00,29.541666666666668,,29.541666666666668,29.541666666666668
2019-07-24 16:00:00,27.608333333333334,27.608333333333334,27.608333333333334,27.608333333333334
2019-07-24 18:00:00,24.25,24.25,24.25,24.25
2019-07-24 20:00:00,21.858333333333334,21.858333333333334,21.858333333333334,21.858333333333334
2019-07-24 22:00:00,21.224999999999998,21.224999999999998,21.224999999999998,21.224999999999998
2019-07-25 00:00:00,21.108333333333334,21.108333333333334,21.108333333333334,21.108333333333334
2019-07-25 02:00:00,20.533333333333335,20.533333333333335,,20.533333333333335
2019-07-25 04:00:00,19.849999999999998,,,19.849999999999998
2019-07-25 06:00:00,23.78333333333333,23.78333333333333,,23.78333333333333
2019-07-25 08:00:00,27.633333333333336,27.633333333333336,,27.633333333333336
2019-07-25 10:00:00,29.925,29.925,29.925,29.925
2019-07-25 12:00:00,31.05,31.05,31.05,31.05
2019-07-25 14:00:00,30.133333333333336,30.133333333333336,30.133333333333336,30.133333333333336
2019-07-25 16:00:00,28.116666666666664,28.116666666666664,28.116666666666664,28.116666666666664
2019-07-25 18:00:00,24.816666666666666,24.816666666666666,24.816666666666666,24.816666666666666
2019-07-25 20:00:00,22.558333333333334,22.558333333333334,22.558333333333334,22.558333333333334
2019-07-25 22:00:00,21.091666666666665,21.091666666666665,21.091666666666665,21.091666666666665
2019-07-26 00:00:00,21.125,21.125,,21.125
2019-07-26 02:00:00,20.708333333333332,20.708333333333332,,20.708333333333332
2019-07-26 04:00:00,19.383333333333333,19.383333333333333,,19.383333333333333
2019-07-26 06:00:00,21.683333333333334,,21.683333333333334,21.683333333333334
2019-07-26 08:00:00,26.583333333333332,26.583333333333332,26.583333333333332,26.583333333333332
2019-07-26 10:00:00,29.241666666666664,29.241666666666664,29.241666666666664,29.241666666666664
2019-07-26 12:00:00,30.008333333333336,30.008333333333336,30.008333333333336,
2019-07-26 14:00:00,28.866666666666664,28.866666666666664,28.866666666666664,
2019-07-26 16:00:00,26.816666666666666,26.816666666666666,26.816666666666666,
2019-07-26 18:00:00,23.741666666666664,23.741666666666664,23.741666666666664,
2019-07-26 20:00:00,21.616666666666664,21.616666666666664,21.616666666666664,
2019-07-26 22:00:00,20.875,20.875,20.875,
2019-07-27 00:00:00,20.616666666666667,20.616666666666667,20.616666666666667,
2019-07-27 02:00:00,19.875,19.875,19.875,
2019-07-27 04:00:00,19.25,,19.25,
2019-07-27 06:00:00,20.616666666666667,20.616666666666667,20.616666666666667,
2019-07-27 08:00:00,23.916666666666668,23.916666666666668,23.916666666666668,
2019-07-27 10:00:00,26.575,26.575,,
2019-07-27 12:00:00,27.541666666666668,27.541666666666668,,
2019-07-27 14:00:00,27.191666666666666,27.191666666666666,,
2019-07-27 16:00:00,25.59166666666667,25.59166666666667,,
2019-07-27 18:00:00,22.825,22.825,22.825,
2019-07-27 20:00:00,20.891666666666666,20.891666666666666,,
2019-07-27 22:00:00,20.025000000000002,20.025000000000002,,
2019-07-28 00:00:00,19.916666666666668,19.916666666666668,,
2019-07-28 02:00:00,19.125,19.125,,
2019-07-28 04:00:00,19.066666666666666,19.066666666666666,,
2019-07-28 06:00:00,20.383333333333333,20.383333333333333,,
2019-07-28 08:00:00,24.233333333333334,24.233333333333334,24.233333333333334,
2019-07-28 10:00:00,26.641666666666666,26.641666666666666,,
2019-07-28 12:00:00,27.46666666666667,27.46666666666667,,
2019-07-28 14:00:00,27.066666666666666,27.066666666666666,,
2019-07-28 16:00:00,25.191666666666666,25.191666666666666,,
2019-07-28 18:00:00,22.291666666666668,22.291666666666668,22.291666666666668,
2019-07-28 20:00:00,20.849999999999998,20.849999999999998,20.849999999999998,
2019-07-28 22:00:00,20.158333333333335,20.158333333333335,20.158333333333335,
2019-07-29 00:00:00,18.5,18.5,18.5,
2019-07-29 02:00:00,17.891666666666666,,17.891666666666666,
2019-07-29 04:00:00,17.641666666666666,17.641666666666666,17.641666666666666,
2019-07-29 06:00:00,19.425,19.425,19.425,
2019-07-29 08:00:00,25.325,25.325,25.325,
2019-07-29 10:00:00,28.616666666666664,28.616666666666664,28.616666666666664,
2019-07-29 12:00:00,29.616666666666664,29.616666666666664,29.616666666666664,
2019-07-29 14:00:00,28.95,28.95,28.95,
2019-07-29 16:00:00,27.575,27.575,27.575,27.575
